Date,Year,Month,Semester,Protests
1/1/2011,2011,January,A,408
2/1/2011,2011,February,A,429
3/1/2011,2011,March,A,433
4/1/2011,2011,April,A,389
5/1/2011,2011,May,A,408
6/1/2011,2011,June,A,456
7/1/2011,2011,July,B,493
8/1/2011,2011,August,B,502
9/1/2011,2011,September,B,497
10/1/2011,2011,October,B,489
11/1/2011,2011,November,B,484
12/1/2011,2011,December,B,350
1/1/2012,2012,January,A,291
2/1/2012,2012,February,A,396
3/1/2012,2012,March,A,436
4/1/2012,2012,April,A,399
5/1/2012,2012,May,A,454
6/1/2012,2012,June,A,466
7/1/2012,2012,July,B,482
8/1/2012,2012,August,B,498
9/1/2012,2012,September,B,506
10/1/2012,2012,October,B,521
11/1/2012,2012,November,B,532
12/1/2012,2012,December,B,580
1/1/2013,2013,January,A,274
2/1/2013,2013,February,A,297
3/1/2013,2013,March,A,62
4/1/2013,2013,April,A,403
5/1/2013,2013,May,A,317
6/1/2013,2013,June,A,334
7/1/2013,2013,July,B,341
8/1/2013,2013,August,B,370
9/1/2013,2013,September,B,390
10/1/2013,2013,October,B,400
11/1/2013,2013,November,B,512
12/1/2013,2013,December,B,437
1/1/2014,2014,January,A,445
2/1/2014,2014,February,A,2248
3/1/2014,2014,March,A,1423
4/1/2014,2014,April,A,1131
5/1/2014,2014,May,A,633
6/1/2014,2014,June,A,489
7/1/2014,2014,July,B,523
8/1/2014,2014,August,B,472
9/1/2014,2014,September,B,431
10/1/2014,2014,October,B,459
11/1/2014,2014,November,B,528
12/1/2014,2014,December,B,504
1/1/2015,2015,January,A,518
2/1/2015,2015,February,A,481
3/1/2015,2015,March,A,451
4/1/2015,2015,April,A,425
5/1/2015,2015,May,A,469
6/1/2015,2015,June,A,492
7/1/2015,2015,July,B,506
8/1/2015,2015,August,B,485
9/1/2015,2015,September,B,489
10/1/2015,2015,October,B,493
11/1/2015,2015,November,B,532
12/1/2015,2015,December,B,512
1/1/2016,2016,January,A,491
2/1/2016,2016,February,A,523
3/1/2016,2016,March,A,538
4/1/2016,2016,April,A,586
5/1/2016,2016,May,A,641
6/1/2016,2016,June,A,728
7/1/2016,2016,July,B,662
8/1/2016,2016,August,B,556
9/1/2016,2016,September,B,543
10/1/2016,2016,October,B,504
11/1/2016,2016,November,B,467
12/1/2016,2016,December,B,678
1/1/2017,2017,January,A,383
2/1/2017,2017,February,A,423
3/1/2017,2017,March,A,448
4/1/2017,2017,April,A,743
5/1/2017,2017,May,A,1048
6/1/2017,2017,June,A,1885
7/1/2017,2017,July,B,3053
8/1/2017,2017,August,B,481
9/1/2017,2017,September,B,199
10/1/2017,2017,October,B,181
11/1/2017,2017,November,B,374
12/1/2017,2017,December,B,569
1/1/2018,2018,January,A,714
2/1/2018,2018,February,A,594
3/1/2018,2018,March,A,1106
4/1/2018,2018,April,A,927
5/1/2018,2018,May,A,850
6/1/2018,2018,June,A,1124
7/1/2018,2018,July,B,2163
8/1/2018,2018,August,B,894
9/1/2018,2018,September,B,983
10/1/2018,2018,October,B,1418
11/1/2018,2018,November,B,1288
12/1/2018,2018,December,B,654
1/1/2019,2019,January,A,2573
2/1/2019,2019,February,A,1600
3/1/2019,2019,March,A,2038
4/1/2019,2019,April,A,1963
5/1/2019,2019,May,A,1541
6/1/2019,2019,June,A,762
7/1/2019,2019,July,B,623
8/1/2019,2019,August,B,783
9/1/2019,2019,September,B,708
10/1/2019,2019,October,B,1739
11/1/2019,2019,November,B,2106
12/1/2019,2019,December,B,303
1/1/2020,2020,January,A,618
2/1/2020,2020,February,A,779
3/1/2020,2020,March,A,580
4/1/2020,2020,April,A,716
5/1/2020,2020,May,A,1075
6/1/2020,2020,June,A,646
7/1/2020,2020,July,B,649
8/1/2020,2020,August,B,748
9/1/2020,2020,September,B,1193
10/1/2020,2020,October,B,1484
11/1/2020,2020,November,B,720
12/1/2020,2020,December,B,425
1/1/2021,2021,January,A,489
2/1/2021,2021,February,A,513
3/1/2021,2021,March,A,504
4/1/2021,2021,April,A,548
5/1/2021,2021,May,A,722
6/1/2021,2021,June,A,617
7/1/2021,2021,July,B,671
8/1/2021,2021,August,B,566
9/1/2021,2021,September,B,568
10/1/2021,2021,October,B,436
11/1/2021,2021,November,B,521
12/1/2021,2021,December,B,405
